X,Y,FNO,F_NAME,HMIS_,PROV,DIST,DIVISION,LOCATION,SUB_LOCATI,LONG,LAT,SPATIAL_RE,F_TYPE,AGENCY,N14,N15
36.84009,-1.137387,1,ANMER DISP,190,CENTRAL,KIAMBU,KIAMBAA,KAMITI,ANMER,36.840090,-1.137387,1:50000 MAPS,4,MOH,,
36.6347,-0.978523,2,BATHI DISP,192,CENTRAL,KIAMBU,LARI,KIJABE,BATHI,36.634700,-0.978523,DDP,4,MISS,,
36.6171,-1.08108,3,BIBIRIONI DISP,3731,CENTRAL,KIAMBU,LIMURU,LIMURU,BIBIRIONI,36.617100,-1.081080,1:50000 MAPS,4,MISS,,
36.6896,-1.21635,4,CHURA DISP,,CENTRAL,KIAMBU,KIKUYU,KABETE,CHURA,36.689600,-1.216350,1:50000 MAPS,4,MOH,,
36.7613,-1.1328,5,CIANDA DISP,193,CENTRAL,KIAMBU,KIAMBAA,CIANDA,CIANDA,36.761300,-1.132800,1:50000 MAPS,4,MOH,,
36.7044,-0.991187,6,GACHOIRE DISP,,CENTRAL,KIAMBU,LARI,NYANDUMA,GACHOIRE,36.704400,-0.991187,DDP,4,MOH,,
36.791234,-1.182312,7,GATHANGA DISP,931,CENTRAL,KIAMBU,KIAMBAA,WAGUTHU,GATHANGA,36.791234,-1.182312,1:50000 MAPS,4,MOH,,
36.7054,-1.06802,8,GATHANGARI DISP,,CENTRAL,KIAMBU,GITHUNGURI,GITHIGA,GITIHA,36.705400,-1.068020,1:50000 MAPS,4,MOH,,
36.8279,-1.09883,9,GIATHIEKO DISP,,CENTRAL,KIAMBU,GITHUNGURI,IKINU,RIUKI,36.827900,-1.098830,DDP,4,MOH,,
36.65,-1.27,10,GICHARANI DISP,3638,CENTRAL,KIAMBU,KIKUYU,KARAI,GIKAMBURA,36.650000,-1.270000,ILRI VILLAGES,4,MISS,,
36.6689,-1.16126,11,GICHURU DISP,198,CENTRAL,KIAMBU,LIMURU,NGECHA,NGECHA,36.668900,-1.161260,1:50000 MAPS,4,MOH,,
36.7462,-1.083,12,GITHIGA HEALTH CENTRE,2401,CENTRAL,KIAMBU,GITHUNGURI,GITHIGA,MATUGUTA,36.746200,-1.083000,DDP,3,MOH,,
36.788,-1.05339,13,GITHUNGURI HEALTH CENTRE,233,CENTRAL,KIAMBU,GITHUNGURI,GITHUNGURI,KANJAI,36.788000,-1.053390,DDP,3,MOH,,
36.6896,-1.0742,14,GITIHA HEALTH CENTRE,2398,CENTRAL,KIAMBU,GITHUNGURI,GITHIGA,GITIHA,36.689600,-1.074200,1:50000 MAPS,3,MOH,,
36.56731,-1.196205,15,HOLY CROSS (THIGIO) DISP,612,CENTRAL,KIAMBU,LIMURU,NDEIYA,THIGIO(KIAMBU),36.567310,-1.196205,SUBLOC CENTROID,4,MISS,,
36.801234,-1.14234,16,KAARIA DISP,,CENTRAL,KIAMBU,KIAMBAA,NDUMBERI,NDUMBERI,36.801234,-1.142340,1:50000 MAPS,4,MOH,,
36.7467,-1.05093,17,KAGAA HEALTH CENTRE,2400,CENTRAL,KIAMBU,GITHUNGURI,GITHUNGURI,GITHUNGURI(KIAMBU),36.746700,-1.050930,DDP,3,MOH,,
36.743433,-1.001209,18,KAGWE CATHOLIC MISSION DISP,207,CENTRAL,KIAMBU,LARI,GATAMAIYU,KAGWE,36.743433,-1.001209,ILRI MKT CENTRES,4,MISS,,
36.7392,-1.00448,19,KAGWE HEALTH CENTRE,2447,CENTRAL,KIAMBU,LARI,GATAMAIYU,KAGWE,36.739200,-1.004480,DDP,3,MOH,,
36.624,-0.870245,20,KAMAE FOREST DISP,208,CENTRAL,KIAMBU,LARI,KINALE,KINALE,36.624000,-0.870245,DDP,4,MOH,,
36.87,-1.1,21,KAMBUI DISP,209,CENTRAL,KIAMBU,GITHUNGURI,NGEWA,NYAGA,36.870000,-1.100000,ILRI VILLAGES,4,MISS,,
36.7082,-1.01588,22,KAMBURU DISP,4831,CENTRAL,KIAMBU,LARI,KAMBURU,MATIMBEI,36.708200,-1.015880,DDP,4,MOH,,
36.5765,-1.28069,23,KARAI HEALTH CENTRE,,CENTRAL,KIAMBU,KIKUYU,KARAI,NACHU,36.576500,-1.280690,DDP,3,MOH,,
36.82123,-1.174213,24,KARIA DISP,210,CENTRAL,KIAMBU,KIAMBAA,WAGUTHU,NGEGU,36.821230,-1.174213,1:50000 MAPS,4,MOH,,
36.78,-1.22,25,KARURA SDA DISP,,CENTRAL,KIAMBU,KIAMBAA,KIHARA,GACHIE,36.780000,-1.220000,ILRI VILLAGES,4,MISS,,
36.7399,-1.18431,26,KARURI HEALTH CENTRE,261,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,NJIKU,36.739900,-1.184310,DDP,3,MOH,,
36.658545,-1.122966,27,KENTMERE DISP,2413,CENTRAL,KIAMBU,LIMURU,KARAMBAINI,MABROUKE,36.658545,-1.122966,1:50000 MAPS,4,MISS,,
36.8456,-1.13999,28,KIAMBAA DISP,,CENTRAL,KIAMBU,KIAMBAA,KAMITI,ANMER,36.845600,-1.139990,DDP,4,MOH,,
36.82993,-1.16938,29,KIAMBU DISTRICT HOSPITAL,251,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA S/AREA,TOWNSHIP(KIAMBAA),36.829930,-1.169380,GPS,1,MOH,,
36.702703,-1.10046,30,KIAWAROGA DISP,326,CENTRAL,KIAMBU,LIMURU,KARAMBAINI,KIAWAROGA,36.702703,-1.100460,1:50000 MAPS,4,MOH,,
36.783449,-1.157365,31,KIBUBUTI HEALTH CENTRE,2412,CENTRAL,KIAMBU,KIAMBAA,WAGUTHU,KANUNGA,36.783449,-1.157365,SUBLOC CENTROID,3,MISS,,
36.648379,-0.921169,32,KIENI FOREST DISP,215,CENTRAL,KIAMBU,LARI,KINALE,MUKEU(KIAMBU),36.648379,-0.921169,SUBLOC CENTROID,4,MOH,,
36.619369,-0.858108,33,KIENI HEALTH CENTRE,2448,CENTRAL,KIAMBU,LARI,KAMAE,KAMUKOMBI-INI,36.619369,-0.858108,1:50000 MAPS,3,MOH,,
36.82658,-1.031082,34,KIGUMO HEALTH CENTRE,237,CENTRAL,KIAMBU,GITHUNGURI,KOMOTHAI,KARATINA,36.826580,-1.031082,1:50000 MAPS,3,MOH,,
36.7386,-1.21091,35,KIHARA HEALTH CENTRE,216,CENTRAL,KIAMBU,KIAMBAA,KIHARA,MAHINDI,36.738600,-1.210910,DDP,3,MOH,,
36.59431,-0.94349,36,KIJABE HOSPITAL,252,CENTRAL,KIAMBU,LARI,KIJABE,KIJABE,36.594310,-0.943490,GPS,1,MISS,,
36.8684,-1.1077,37,KIMATHI DISP,,CENTRAL,KIAMBU,GITHUNGURI,NGEWA,KIMATHI(KIAMBU),36.868400,-1.107700,DDP,4,MOH,,
36.61036,-0.911261,38,KINALE FOREST DISP,217,CENTRAL,KIAMBU,LARI,KINALE,MUKEU(KIAMBU),36.610360,-0.911261,1:50000 MAPS,4,MOH,,
36.6157,-0.908237,39,KINALE HEALTH CENTRE,2452,CENTRAL,KIAMBU,LARI,KINALE,MUKEU(KIAMBU),36.615700,-0.908237,DDP,3,MOH,,
36.8203,-1.03614,40,KIRATINA DISP,,CENTRAL,KIAMBU,GITHUNGURI,KOMOTHAI,KARATINA,36.820300,-1.036140,DDP,4,MOH,,
36.6964,-0.985135,41,KIRIITA DISP,213,CENTRAL,KIAMBU,LARI,GATAMAIYU,KAGWE,36.696400,-0.985135,1:50000 MAPS,4,MOH,,
36.63,-0.97,42,KIRIITA MISSION HC,235,CENTRAL,KIAMBU,LARI,KIJABE,BATHI,36.630000,-0.970000,ILRI VILLAGES,3,MISS,,
36.605,-1.02791,43,LARI HEALTH CENTRE,239,CENTRAL,KIAMBU,LARI,KIRENGA,ESCARPMENT,36.605000,-1.027910,DDP,3,MOH,,
36.6366,-1.11593,44,LIMURU HEALTH CENTRE,240,CENTRAL,KIAMBU,LIMURU,LIMURU,KAMIRITHU,36.636600,-1.115930,DDP,3,MOH,,
36.830408,-1.102112,45,LIOKI MISSION DISP,3090,CENTRAL,KIAMBU,GITHUNGURI,IKINU,RIUKI,36.830408,-1.102112,SUBLOC CENTROID,4,MISS,,
36.771525,-1.192355,46,LITTLE SERVANT OF SACRET HEART D,435,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,NJORO(KIAMBU),36.771525,-1.192355,SUBLOC CENTROID,4,MISS,,
36.6136,-1.28,47,LUSIGETTI HEALTH CENTRE,2437,CENTRAL,KIAMBU,KIKUYU,KARAI,LUSINGETTI,36.613600,-1.280000,1:50000 MAPS,3,MOH,,
36.8,-1.12,48,MIGAA DISP,321,CENTRAL,KIAMBU,KIAMBAA,CIANDA,CIANDA,36.800000,-1.120000,ILRI VILLAGES,4,MOH,,
36.8,-1.07,49,MIGUTA DISP,,CENTRAL,KIAMBU,GITHUNGURI,GITHUNGURI,KIAIRIA,36.800000,-1.070000,ILRI VILLAGES,4,MISS,,
36.7,-1.18,50,MOST PRECIOUS BLOOD DISP,3903,CENTRAL,KIAMBU,LIMURU,TIGONI,RED HILL,36.700000,-1.180000,ILRI VILLAGES,4,MISS,,
36.7257,-1.13378,51,NAZARETH HOSPITAL,255,CENTRAL,KIAMBU,LIMURU,KARAMBAINI,KARAMBAINI,36.725700,-1.133780,1:50000 MAPS,1,MISS,,
36.5942,-1.16975,52,NDEIYA HEALTH CENTRE,3928,CENTRAL,KIAMBU,LIMURU,NDEIYA,NDERU,36.594200,-1.169750,DDP,3,MOH,,
36.60586,-1.142793,53,NDERU DISP,221,CENTRAL,KIAMBU,LIMURU,NDEIYA,NDERU,36.605860,-1.142793,1:50000 MAPS,4,MOH,,
